                    *********************************************************************************
                    *  Z= 65 A=160: Positive-Parity Spin-dependent Level Density [MeV-1] for TB160  *
  70.00  2.194  1.88E+23 1.37E+22 1.07E+23 1.36E+17 1.38E+21 1.38E+21 3.68E+21 5.05E+21 2.06E+21 1.07E+20 9.13E+18 2.85E+17 2.05E+19 1.51E+14 2.25E+13 2.84E+10 1.51E+13 1.57E+11 4.87E+13 2.72E+11 2.15E+13 7.05E+11 1.17E+14 6.97E+11 5.98E+14 1.50E+12 1.71E+15 7.56E+12 7.63E+16 1.97E+15 1.51E+14 4.62E+14 9.72E+17 3.00E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  2.345  3.96E+23 2.80E+22 2.25E+23 2.72E+17 2.75E+21 2.76E+21 7.37E+21 1.01E+22 4.12E+21 2.13E+20 1.82E+19 4.06E+18 6.24E+20 5.81E+14 6.29E+13 2.56E+10 4.33E+13 2.14E+11 1.97E+14 4.77E+11 8.79E+13 1.72E+12 7.59E+14 2.00E+12 6.25E+15 6.07E+12 2.68E+16 5.05E+13 2.91E+18 4.47E+16 3.02E+14 9.22E+14 1.94E+18 5.89E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.487  9.05E+23 7.38E+22 7.94E+23 5.43E+17 5.50E+21 5.51E+21 1.47E+22 2.02E+22 8.25E+21 4.27E+20 3.64E+19 5.80E+19 1.90E+22 2.23E+15 1.76E+14 2.31E+10 1.24E+14 2.91E+11 8.00E+14 8.36E+11 3.60E+14 4.18E+12 4.93E+15 5.71E+12 6.54E+16 2.46E+13 4.19E+17 3.37E+14 1.11E+20 1.02E+18 6.02E+14 1.84E+15 3.89E+18 1.16E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.622  4.74E+24 6.92E+23 1.21E+25 1.09E+18 1.10E+22 1.10E+22 2.95E+22 4.04E+22 1.65E+22 8.53E+20 7.28E+19 8.27E+20 5.78E+23 8.59E+15 4.93E+14 2.08E+10 3.58E+14 3.97E+11 3.24E+15 1.47E+12 1.47E+15 1.02E+13 3.20E+16 1.64E+13 6.85E+17 9.94E+13 6.56E+18 2.25E+15 4.25E+21 2.31E+19 1.20E+15 3.68E+15 7.78E+18 2.28E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.750  9.81E+25 1.80E+25 3.44E+26 2.17E+18 2.20E+22 2.21E+22 5.89E+22 8.08E+22 3.30E+22 1.71E+21 1.45E+20 1.18E+22 1.76E+25 3.31E+16 1.38E+15 1.87E+10 1.03E+15 5.41E+11 1.31E+16 2.57E+12 6.03E+15 2.48E+13 2.08E+17 4.68E+13 7.17E+18 4.02E+14 1.03E+20 1.50E+16 1.62E+23 5.25E+20 2.39E+15 7.34E+15 1.56E+19 4.48E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  2.872  2.90E+27 5.42E+26 1.05E+28 4.34E+18 4.40E+22 4.41E+22 1.18E+23 1.62E+23 6.60E+22 3.41E+21 2.91E+20 1.68E+23 5.35E+26 1.27E+17 3.87E+15 1.69E+10 2.96E+15 7.37E+11 5.31E+16 4.50E+12 2.47E+16 6.03E+13 1.35E+18 1.34E+14 7.50E+19 1.63E+15 1.61E+21 1.01E+17 6.19E+24 1.19E+22 4.78E+15 1.47E+16 3.11E+19 8.81E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  2.990  8.82E+28 1.65E+28 3.21E+29 8.69E+18 8.80E+22 8.82E+22 2.36E+23 3.23E+23 1.32E+23 6.82E+21 5.81E+20 2.40E+24 1.63E+28 4.89E+17 1.08E+16 1.52E+10 8.50E+15 1.00E+12 2.15E+17 7.88E+12 1.01E+17 1.47E+14 8.75E+18 3.84E+14 7.85E+20 6.59E+15 2.51E+22 6.71E+17 2.36E+26 2.71E+23 9.52E+15 2.93E+16 6.22E+19 1.73E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  3.102  2.69E+30 5.04E+29 9.87E+30 1.74E+19 1.76E+23 1.76E+23 4.71E+23 6.46E+23 2.64E+23 1.36E+22 1.16E+21 3.43E+25 4.95E+29 1.88E+18 3.03E+16 1.37E+10 2.44E+16 1.37E+12 8.72E+17 1.38E+13 4.14E+17 3.58E+14 5.68E+19 1.10E+15 8.22E+21 2.67E+16 3.93E+23 4.48E+18 9.02E+27 6.17E+24 1.90E+16 5.85E+16 1.24E+20 3.41E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  3.211  8.23E+31 1.54E+31 3.04E+32 3.47E+19 3.52E+23 3.53E+23 9.42E+23 1.29E+24 5.28E+23 2.72E+22 2.32E+21 4.90E+26 1.51E+31 7.24E+18 8.48E+16 1.24E+10 7.02E+16 1.86E+12 3.53E+18 2.42E+13 1.69E+18 8.72E+14 3.69E+20 3.15E+15 8.60E+22 1.08E+17 6.15E+24 2.99E+19 3.45E+29 1.40E+26 3.79E+16 1.17E+17 2.49E+20 6.70E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  3.317  2.52E+33 4.72E+32 9.38E+33 6.95E+19 7.04E+23 7.05E+23 1.88E+24 2.58E+24 1.05E+24 5.45E+22 4.63E+21 6.99E+27 4.58E+32 2.78E+19 2.37E+17 1.12E+10 2.02E+17 2.54E+12 1.43E+19 4.24E+13 6.93E+18 2.12E+15 2.39E+21 9.02E+15 9.00E+23 4.37E+17 9.61E+25 2.00E+20 1.32E+31 3.19E+27 7.55E+16 2.33E+17 4.98E+20 1.32E+25 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  3.419  7.71E+34 1.45E+34 2.91E+35 1.39E+20 1.41E+24 1.41E+24 3.77E+24 5.17E+24 2.11E+24 1.09E+23 9.25E+21 9.97E+28 1.39E+34 1.07E+20 6.65E+17 1.01E+10 5.80E+17 3.46E+12 5.79E+19 7.43E+13 2.84E+19 5.17E+15 1.55E+22 2.58E+16 9.42E+24 1.77E+18 1.50E+27 1.34E+21 5.02E+32 7.24E+28 1.51E+17 4.66E+17 9.95E+20 2.59E+26 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  3.518  2.37E+36 4.44E+35 9.04E+36 2.78E+20 2.82E+24 2.82E+24 7.54E+24 1.03E+25 4.22E+24 2.18E+23 1.85E+22 1.42E+30 4.24E+35 4.12E+20 1.86E+18 9.06E+09 1.67E+18 4.72E+12 2.35E+20 1.30E+14 1.16E+20 1.26E+16 1.01E+23 7.39E+16 9.85E+25 7.16E+18 2.35E+28 8.92E+21 1.92E+34 1.65E+30 3.00E+17 9.31E+17 1.99E+21 5.10E+27 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  3.614  7.28E+37 1.36E+37 2.83E+38 5.55E+20 5.63E+24 5.64E+24 1.51E+25 2.07E+25 8.44E+24 4.35E+23 3.69E+22 2.03E+31 1.29E+37 1.58E+21 5.21E+18 8.17E+09 4.79E+18 6.42E+12 9.50E+20 2.28E+14 4.75E+20 3.07E+16 6.55E+23 2.12E+17 1.03E+27 2.90E+19 3.68E+29 5.96E+22 7.32E+35 3.74E+31 5.99E+17 1.86E+18 3.98E+21 1.00E+29 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.708  2.25E+39 4.21E+38 8.89E+39 1.11E+21 1.13E+25 1.13E+25 3.01E+25 4.13E+25 1.69E+25 8.70E+23 7.38E+22 2.90E+32 3.93E+38 6.10E+21 1.46E+19 7.37E+09 1.38E+19 8.75E+12 3.85E+21 4.00E+14 1.94E+21 7.47E+16 4.25E+24 6.06E+17 1.08E+28 1.17E+20 5.76E+30 3.98E+23 2.80E+37 8.50E+32 1.19E+18 3.71E+18 7.96E+21 1.97E+30 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
