                    *********************************************************************************
                    *  Z= 67 A=166: Positive-Parity Spin-dependent Level Density [MeV-1] for HO166  *
  70.00  2.154  5.08E+22 7.87E+21 7.43E+22 6.39E+13 1.38E+12 1.42E+12 4.19E+14 6.61E+21 9.73E+20 2.21E+20 2.26E+19 3.01E+16 4.22E+19 3.16E+13 2.05E+11 1.06E+08 5.12E+12 2.25E+11 1.47E+13 2.43E+11 5.00E+13 2.78E+11 1.31E+14 2.69E+11 2.46E+14 5.48E+12 1.96E+14 4.36E+13 1.01E+17 8.55E+16 1.98E+14 1.62E+14 2.00E+18 2.76E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  2.302  2.88E+24 5.58E+23 5.04E+24 1.27E+14 2.40E+12 2.49E+12 1.80E+15 5.54E+23 1.95E+21 4.43E+20 4.52E+19 2.71E+17 1.39E+21 8.69E+13 2.35E+11 3.33E+07 1.15E+13 3.10E+11 4.56E+13 3.90E+11 2.21E+14 5.33E+11 8.11E+14 6.17E+11 2.06E+15 2.62E+13 1.94E+15 3.73E+14 3.82E+18 3.56E+18 3.95E+14 3.23E+14 3.99E+18 9.72E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.442  2.38E+26 4.65E+25 4.19E+26 2.54E+14 4.17E+12 4.36E+12 7.74E+15 4.64E+25 3.89E+21 8.85E+20 9.02E+19 2.44E+18 4.55E+22 2.39E+14 2.68E+11 1.04E+07 2.58E+13 4.27E+11 1.42E+14 6.24E+11 9.79E+14 1.03E+12 5.03E+15 1.42E+12 1.73E+16 1.25E+14 1.93E+16 3.20E+15 1.45E+20 1.48E+20 7.87E+14 6.44E+14 7.99E+18 3.42E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.574  1.99E+28 3.89E+27 3.50E+28 5.06E+14 7.24E+12 7.63E+12 3.33E+16 3.89E+27 7.78E+21 1.77E+21 1.80E+20 2.20E+19 1.49E+24 6.56E+14 3.06E+11 3.27E+06 5.80E+13 5.88E+11 4.40E+14 1.00E+12 4.33E+15 1.97E+12 3.12E+16 3.25E+12 1.44E+17 5.98E+14 1.92E+17 2.74E+16 5.47E+21 6.17E+21 1.57E+15 1.28E+15 1.60E+19 1.20E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.700  1.67E+30 3.26E+29 2.93E+30 1.01E+15 1.26E+13 1.34E+13 1.43E+17 3.26E+29 1.56E+22 3.54E+21 3.60E+20 1.99E+20 4.91E+25 1.80E+15 3.50E+11 1.02E+06 1.30E+14 8.09E+11 1.36E+15 1.60E+12 1.92E+16 3.79E+12 1.94E+17 7.46E+12 1.21E+18 2.86E+15 1.91E+18 2.35E+17 2.07E+23 2.57E+23 3.13E+15 2.56E+15 3.20E+19 4.24E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  2.820  1.40E+32 2.73E+31 2.46E+32 2.01E+15 2.18E+13 2.34E+13 6.15E+17 2.73E+31 3.11E+22 7.07E+21 7.20E+20 1.79E+21 1.61E+27 4.95E+15 4.00E+11 3.21E+05 2.92E+14 1.11E+12 4.23E+15 2.56E+12 8.47E+16 7.28E+12 1.20E+18 1.71E+13 1.01E+19 1.37E+16 1.90E+19 2.02E+18 7.82E+24 1.07E+25 6.24E+15 5.11E+15 6.39E+19 1.49E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  2.935  1.17E+34 2.29E+33 2.06E+34 4.01E+15 3.79E+13 4.09E+13 2.64E+18 2.29E+33 6.22E+22 1.41E+22 1.44E+21 1.61E+22 5.29E+28 1.36E+16 4.57E+11 1.01E+05 6.57E+14 1.53E+12 1.31E+16 4.11E+12 3.75E+17 1.40E+13 7.45E+18 3.93E+13 8.46E+19 6.52E+16 1.89E+20 1.73E+19 2.96E+26 4.45E+26 1.25E+16 1.02E+16 1.28E+20 5.26E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  3.046  9.82E+35 1.92E+35 1.73E+36 7.99E+15 6.58E+13 7.16E+13 1.14E+19 1.92E+35 1.24E+23 2.83E+22 2.88E+21 1.46E+23 1.74E+30 3.74E+16 5.22E+11 3.16E+04 1.47E+15 2.11E+12 4.08E+16 6.58E+12 1.66E+18 2.69E+13 4.62E+19 9.02E+13 7.08E+20 3.12E+17 1.87E+21 1.48E+20 1.12E+28 1.85E+28 2.48E+16 2.04E+16 2.56E+20 1.85E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  3.153  8.23E+37 1.61E+37 1.45E+38 1.59E+16 1.14E+14 1.25E+14 4.88E+19 1.61E+37 2.49E+23 5.65E+22 5.75E+21 1.31E+24 5.71E+31 1.03E+17 5.96E+11 9.90E+03 3.31E+15 2.90E+12 1.27E+17 1.05E+13 7.34E+18 5.17E+13 2.87E+20 2.07E+14 5.93E+21 1.49E+18 1.86E+22 1.27E+21 4.23E+29 7.72E+29 4.95E+16 4.06E+16 5.11E+20 6.52E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  3.256  6.90E+39 1.35E+39 1.21E+40 3.18E+16 1.98E+14 2.19E+14 2.10E+20 1.35E+39 4.98E+23 1.13E+23 1.15E+22 1.18E+25 1.87E+33 2.83E+17 6.81E+11 3.10E+03 7.44E+15 3.99E+12 3.93E+17 1.69E+13 3.25E+19 9.93E+13 1.78E+21 4.75E+14 4.96E+22 7.12E+18 1.85E+23 1.09E+22 1.60E+31 3.21E+31 9.87E+16 8.11E+16 1.02E+21 2.29E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  3.356  5.78E+41 1.13E+41 1.02E+42 6.33E+16 3.45E+14 3.83E+14 9.01E+20 1.13E+41 9.95E+23 2.26E+23 2.30E+22 1.07E+26 6.15E+34 7.76E+17 7.78E+11 9.73E+02 1.67E+16 5.50E+12 1.22E+18 2.70E+13 1.44E+20 1.91E+14 1.10E+22 1.09E+15 4.15E+23 3.40E+19 1.84E+24 9.32E+22 6.05E+32 1.34E+33 1.97E+17 1.62E+17 2.04E+21 8.07E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  3.454  4.84E+43 9.46E+42 8.51E+43 1.26E+17 5.98E+14 6.71E+14 3.87E+21 9.46E+42 1.99E+24 4.52E+23 4.59E+22 9.61E+26 2.02E+36 2.13E+18 8.89E+11 0.00E+00 3.75E+16 7.56E+12 3.79E+18 4.33E+13 6.35E+20 3.67E+14 6.85E+22 2.50E+15 3.47E+24 1.63E+20 1.83E+25 7.99E+23 2.29E+34 5.57E+34 3.93E+17 3.23E+17 4.09E+21 2.84E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  3.548  4.06E+45 7.93E+44 7.13E+45 2.52E+17 1.04E+15 1.17E+15 1.66E+22 7.93E+44 3.98E+24 9.03E+23 9.17E+22 8.67E+27 6.64E+37 5.86E+18 1.02E+12 0.00E+00 8.43E+16 1.04E+13 1.18E+19 6.93E+13 2.81E+21 7.05E+14 4.25E+23 5.74E+15 2.91E+25 7.77E+20 1.82E+26 6.85E+24 8.66E+35 2.32E+36 7.83E+17 6.44E+17 8.18E+21 1.00E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.640  3.40E+47 6.64E+46 5.98E+47 5.02E+17 1.80E+15 2.05E+15 7.15E+22 6.64E+46 7.96E+24 1.81E+24 1.83E+23 7.81E+28 2.18E+39 1.61E+19 1.16E+12 0.00E+00 1.89E+17 1.43E+13 3.65E+19 1.11E+14 1.24E+22 1.35E+15 2.63E+24 1.32E+16 2.43E+26 3.71E+21 1.81E+27 5.87E+25 3.28E+37 9.65E+37 1.56E+18 1.28E+18 1.63E+22 3.52E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
